User,Rank,Game,Score
akawolf,11,Reckoners,10
akawolf,12,Terraforming Mars: Ares Expedition,9
akawolf,13,Final Girl,8
akawolf,14,Expeditions,7
akawolf,15,Everdell,6
akawolf,16,Red Rising,5
akawolf,17,Obsession,4
akawolf,18,Architects of the West Kingdom,3
akawolf,19,Zombicide: Black Plague,2
akawolf,20,Cascadia,1
alamb1101,1,Aventuria,20
alamb1101,2,Hero Realms,19
alamb1101,3,Folklore: The Affliction,18
alamb1101,4,Zerywia,17
alamb1101,5,Tales from the Loop: The Board Game,16
alamb1101,6,Arkham Horror,15
alamb1101,7,Robinson Crusoe: Adventures on the Cursed Island,14
alamb1101,8,Fields of Green,13
alamb1101,9,This War of Mine: The Board Game,12
alamb1101,10,Aqua Garden,11
Albia,1,Obsession,20
Albia,2,Codeword Cromwell,19
Albia,3,Expedition: Northwest Passage,18
Albia,4,Wizard's Academy,17
Albia,5,Pursuit of Happiness,16
Albia,6,Paupers’ Ladder,15
Albia,7,Thurn and Taxis,14
Albia,8,Fields of Green,13
Albia,9,Loop,12
Albia,10,Gloom of Kilforth: A Fantasy Quest Game,11
Albia,11,Far Away,10
Albia,12,Meadow,9
Albia,13,Dune: Imperium,8
Albia,14,Dog Park,7
Albia,15,Herbaceous,6
Albia,16,Orchard: A 9 card solitaire game,5
Albia,17,Deep Future,4
Albia,18,Concordia,3
Albia,19,Samurai Spirit,2
Albia,20,Unicornus Knights,1
albinoork,1,Anachrony,20
albinoork,2,Castles of Burgundy,19
albinoork,3,Dice Settlers,18
albinoork,4,Bitoku,17
albinoork,5,Rome & Roll,16
albinoork,6,Perseverance: Castaway Chronicles,15
albinoork,7,Teotihuacan: City of Gods,14
albinoork,8,Railways of the World,13
albinoork,9,Kanban EV,12
albinoork,10,Snowdonia,11
albinoork,11,Underwater Cities,10
albinoork,12,Earth,9
albinoork,13,Red Cathedral,8
albinoork,14,Concordia,7
albinoork,15,La Granja,6
albinoork,16,Magnate,5
albinoork,17,Petrichor,4
albinoork,18,Ultimate Railroads,3
albinoork,19,Halls of Hegra,2
albinoork,20,Trickerion: Legends of Illusion,1
Alecincr,1,Gaia Project,20
Alecincr,2,Anachrony,19
Alecincr,3,Unfair,18
Alecincr,4,Spirit Island,17
Alecincr,5,Paladins of the West Kingdom,16
Alecincr,6,Cloudspire,15
Alecincr,7,Too Many Bones,14
Alecincr,8,Teotihuacan: City of Gods,13
Alecincr,9,Cerebria: The Inside World,12
Alecincr,10,Raiders of the North Sea,11
Alecincr,11,Perseverance: Castaway Chronicles,10
Alecincr,12,Imperium: Classics,9
Alecincr,13,Friday,8
Alecincr,14,Blackout: Hong Kong,7
Alecincr,15,Underwater Cities,6
Alecincr,16,Turing Machine,5
Alecincr,17,Scythe,4
Alecincr,18,Under Falling Skies,3
Alecincr,19,Pandemic,2
Alecincr,20,Sprawlopolis,1
alethic,1,Lord of the Rings: The Card Game,20
alethic,2,Mistfall,19
alethic,3,Imperium: Classics,18
alethic,4,Spirit Island,17
alethic,5,Renegade,16
alethic,6,Shadowrun: Crossfire,15
alethic,7,Pax Renaissance,14
alethic,8,Mage Knight Board Game,13
alethic,9,Sentinels of the Multiverse,12
alethic,10,51st State,11
alethic,11,Aeon's End,10
alethic,12,Pax Porifiana,9
alethic,13,Arkham Horror: The Card Game,8
alethic,14,Eldritch Horror,7
alethic,15,Scythe,6
alethic,16,Race for the Galaxy,5
alethic,17,Robinson Crusoe: Adventures on the Cursed Island,4
alethic,18,Assault on Doomrock,3
alethic,19,Space Hulk: Death Angel,2
alethic,20,Legends of Andor,1
alexbeers,1,Marvel United,20
alexbeers,2,Lands of Galzyr,19
alexbeers,3,Dorfromantik: The Board Game,18
alexbeers,4,Mandala Mind: The Card Game,17
alexbeers,5,Sprawlopolis,16
alexbeers,6,For Northwood! A Solo Trick-Taking Game,15
alexbeers,7,ROVE: Results-Oriented Versatile Explorer,14
alexbeers,8,Meadow,13
